ID,grainSize,phi1,Phi1,phi2,GOS,x,y,z,theta,rho
49,371,2.5658291891184,2.90034138465083,4.44912287569306,0.0108725414873762,0.0240657252916501,0.037073807622987,-0.17964253979674,2.90034138465083,0.995032862323507
74,1021,2.87717075035159,1.85129484005976,4.97285146561599,0.0162943542742906,0.0464604023131435,0.171591308662204,-0.0512144731359764,1.85129484005976,1.30637442355669
78,397,2.42492165687583,1.21834401500946,3.45243673527277,0.0100902549323886,0.114052483352059,0.1309149595338,0.0638621395006038,1.21834401500946,0.854125330080937
210,4175,2.8000402581308,1.78408901062333,4.95234427150161,0.0154273648801087,0.0605616578100532,0.170363715670448,-0.0391606746157354,1.78408901062333,1.2292439313359
230,283,0.791247075473876,1.41106920314278,3.56431706396229,0.0101234141130654,0.129902878018406,-0.128392116080493,0.02942405922049,1.41106920314278,-0.77954925132102
234,548,0.69874587325347,1.15745167963421,5.1085522204075,0.0102256006041828,0.108980720363555,-0.129716287211157,0.0743098638896337,1.15745167963421,-0.872050453541427
268,3034,2.78249596409784,2.73328526220906,4.56662837534219,0.0226333935434844,0.0258143743581709,0.0687701279476295,-0.169792096484688,2.73328526220906,1.21169963730294
325,607,2.58104926405929,0.977020280462778,3.69534062908361,0.023194290618911,0.0815197131634658,0.129869099719775,0.103506626617932,0.977020280462778,1.01025293726439
369,3253,2.2665930040765,1.5954266916836,4.05740911155275,0.0123467303124148,0.141952579348326,0.118548618971847,-0.00455616135884246,1.5954266916836,0.695796677281605
402,724,0.940995159594906,1.56077139789771,3.18660352907988,0.0108996610170683,0.149499394131146,-0.108956689229108,0.00185458263621678,1.56077139789771,-0.62980116719999
407,382,2.78103140663261,0.992060376723487,3.24904205998448,0.0151516388823298,0.0546393826790913,0.144915232065858,0.101188842398009,0.992060376723487,1.21023507983771
446,970,2.03851060281904,1.26382896665804,3.7535876802323,0.00994412549364772,0.157412196400922,0.0795079117100359,0.0559013492668062,1.26382896665804,0.467714276024147
448,124,2.79969636655816,0.956500196000709,3.26421475347596,0.0135423233725222,0.0506861975952723,0.142428216996569,0.106631050011777,0.956500196000709,1.22890003976326
